LMSD Examples,LM_ID,Common Name,Systematic Name,Main Class,Sub Class,Mass,Formula,m/z,RT [min]
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031305,16E-docosenoic acid,16E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031302,16Z-docosenoic acid,16Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031308,17E-docosenoic acid,17E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030403,19Z-docosenoic acid,19Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030404,5Z-docosenoic acid,5Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030910,7Z-docosenoic acid,7Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01031334,8Z-docosenoic acid,8Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030911,9Z-docosenoic acid,9Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030400,Cetelaidic acid,11E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030088,cis-cetoleic acid,11Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030089,cis-erucic acid,13Z-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA01030090,trans-brassidic acid,13E-docosenoic acid,Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA04000085,17Z-Docosenoic acid,17Z-Docosenoic acid,Docosanoids [FA04],Other Docosanoids [FA0400],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=FA 22:1,LMFA07040059,22-Docosanolide,22-Docosanolide,Fatty esters [FA07],Lactones [FA0704],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=SFE 22:1,LMFA07010561,(Z)-7-Octadecenyl butyrate,(Z)-7-Octadecenyl butyrate,Fatty esters [FA07],Short fatty esters [FA0710],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=SFE 22:1,LMFA07010400,SFE 20:1(11Z)/2:0,11Z-Eicosenyl acetate,Fatty esters [FA07],Short fatty esters [FA0710],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=SFE 22:1,LMFA07010640,WE 17:1(9Z)(16Me)/3:0(2Me),16-Methyl-9Z-heptadecenyl isobutyrate,Fatty esters [FA07],Short fatty esters [FA0710],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=SFE 22:1,LMFA07010975,n-Butyl Oleate,(Z)-octadec-9-enoic acid butyl ester,Fatty esters [FA07],Short fatty esters [FA0710],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=WE 22:1,LMFA07010591,(Z)-3-Hexenyl hexadecanoate,(Z)-3-Hexenyl hexadecanoate,Fatty esters [FA07],Wax monoesters [FA0701],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=WE 22:1,LMFA07010644,SFE 18:1(7Z)/3:0(2Me),7Z-Octadecenyl isobutyrate,Fatty esters [FA07],Short fatty esters [FA0710],338.32,C22H42O2,397.33206,8.11
/resources/tools/chemdb_ontology?abbrev=SPB 19:2;O2,LMSP01080012,"(4E,8E,9Me-d19:2)sphingosine","9-methyl-sphinga-4E,8E-dienine",Sphingoid bases [SP01],Sphingoid base analogs [SP0108],311.28,C19H37NO2,356.28076,2.591
/resources/tools/chemdb_ontology?abbrev=NAE 16:1,LMFA08040043,Palmitoleoyl-EA,N-(9Z-hexadecenoyl)-ethanolamine,Fatty amides [FA08],N-acyl ethanolamines (endocannabinoids) [FA0804],297.27,C18H35NO2,356.28076,2.591
/resources/tools/chemdb_ontology?abbrev=SPB 18:2;O2,LMSP01010002,3-ketosphingosine,3-keto-sphing-4-enine,Sphingoid bases [SP01],Sphing-4-enines (Sphingosines) [SP0101],297.27,C18H35NO2,356.28076,2.591
/resources/tools/chemdb_ontology?abbrev=SPB 18:2;O2,LMSP01080010,"(4E,8E,d18:2) sphingosine","sphinga-4E,8E-dienine",Sphingoid bases [SP01],Sphingoid base analogs [SP0108],297.27,C18H35NO2,356.28076,2.591
/resources/tools/chemdb_ontology?abbrev=SPB 18:2;O2,LMSP01080011,"(4E,8Z,d18:2) sphingosine","sphinga-4E,8Z-dienine",Sphingoid bases [SP01],Sphingoid base analogs [SP0108],297.27,C18H35NO2,356.28076,2.591
/resources/tools/chemdb_ontology?abbrev=SPB 18:2;O2,LMSP01080002,"4E,14Z-Sphingadiene","sphinga-4E,14Z-dienine",Sphingoid bases [SP01],Sphingoid base analogs [SP0108],297.27,C18H35NO2,356.28076,2.591
/resources/tools/chemdb_ontology?abbrev=SPB 19:3;O2,LMSP01080014,"(9Me,4E,8E,10E-d19:3)sphingosine","9-methyl-sphinga-4E,8E,10E-trienine",Sphingoid bases [SP01],Sphingoid base analogs [SP0108],309.27,C19H35NO2,354.26494,3.347
/resources/tools/chemdb_ontology?abbrev=SPB 18:3;O2,LMSP01080013,"(4E,8E,10E-d18:3)sphingosine","sphinga-4E,8E,10E-trienine",Sphingoid bases [SP01],Sphingoid base analogs [SP0108],295.25,C18H33NO2,354.26494,3.347
/resources/tools/chemdb_ontology?abbrev=FA 24:5,LMFA01030820,"6Z,9Z,12Z,15Z,18Z-tetracosapentaenoic acid","6Z,9Z,12Z,15Z,18Z-tetracosapentaenoic acid",Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=FA 24:5,LMFA01030821,"9Z,12Z,15Z,18Z,21Z-tetracosapentaenoic acid","9Z,12Z,15Z,18Z,21Z-tetracosapentaenoic acid",Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=FA 24:5,LMFA01140015,12-[5]-ladderane-dodecanoic acid,12-[5]-ladderane-dodecanoic acid,Fatty Acids and Conjugates [FA01],Carbocyclic fatty acids [FA0114],358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010170,,5beta-Chol-2-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010265,,Chol-5-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010263,,5beta-Chol-3-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010268,,5beta-Chol-8-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010144,,5beta-Chol-14-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010264,,Chol-4-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010269,,5beta-Chol-8(14)-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010267,,5beta-Chol-7-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010143,,5beta-Chol-11-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010142,,5beta-Chol-9(11)-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2,LMST04010266,,5beta-Chol-6-en-24-oic Acid,Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",358.29,C24H38O2,357.28005,8.059
/resources/tools/chemdb_ontology?abbrev=Cer 20:1;O2,LMSP02010014,Cer(d18:1/2:0),N-(acetyl)-sphing-4-enine,Ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],341.29,C20H39NO3,340.28571,5.862
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050173,10-hydroxy-tetradecanoic acid,10-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050174,11-hydroxy-tetradecanoic acid,11-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050325,11S-hydroxy-tetradecanoic acid,11S-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050484,2-Hydroxymyristic acid,2-hydroxytetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050175,3-hydroxy-tetradecanoic acid,3-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050322,3R-hydroxy-tetradecanoic acid,3R-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050323,3S-hydroxy-tetradecanoic acid,3S-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050176,5-hydroxy-tetradecanoic acid,5-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050177,6-hydroxy-tetradecanoic acid,6-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050542,9-Hydroxymyristic acid,9-Hydroxytetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050324,Butolic acid,6R-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050001,alpha-hydroxy myristic acid,2-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 14:0;O,LMFA01050044,omega-hydroxy myristic acid,14-hydroxy-tetradecanoic acid,Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],244.2,C14H28O3,243.19631,5.754
/resources/tools/chemdb_ontology?abbrev=FA 26:6,LMFA01030838,"26:6(8Z,11Z,14Z,17Z,20Z,23Z)","8Z,11Z,14Z,17Z,20Z,23Z-hexacosahexaenoic acid",Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],384.3,C26H40O2,383.29574,8.199
/resources/tools/chemdb_ontology?abbrev=LPA 18:2,LMGP10050044,"PA(0:0/18:2(9Z,12Z))","2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphate",Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],434.24,C21H39O7P,433.2362,10.634
/resources/tools/chemdb_ontology?abbrev=LPA 18:2,LMGP10050017,"PA(18:2(9Z,12Z)/0:0)","1-(9Z,12Z-octadecadienoyl)-glycero-3-phosphate",Glycerophosphates [GP10],Monoacylglycerophosphates [GP1005],434.24,C21H39O7P,433.2362,10.634
